Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Outstanding_Debt
16578.115,2,13,1054.86
16578.115,2,13,1054.86
16578.115,2,13,1054.86
16578.115,2,13,1054.86
16578.115,2,12,1054.86
16578.115,2,12,1054.86
34766.06,3,5,1374.23
34766.06,3,6,1374.23
34766.06,3,4,1374.23
34766.06,3,4,1374.23
16852.635,0,13,775.22
16852.635,0,13,775.22
16852.635,0,13,775.22
16852.635,0,13,775.22
16852.635,0,13,775.22
91690.53,2,8,1295.18
91690.53,2,0,1295.18
91690.53,2,8,1295.18
91690.53,2,8,1295.18
30272.61,1,6,180.94
30272.61,1,8,180.94
30272.61,1,8,180.94
30272.61,1,8,180.94
30272.61,1,8,180.94
59971.42,3,20,203.03
59971.42,3,2008,203.03
42220.39,4,9,257.81
42220.39,4,9,257.81
42220.39,4,9,257.81
42220.39,4,9,257.81
43581.13,3,2,900.83
43581.13,3,3,900.83
43581.13,3,3,900.83
28681.38,0,0,467.64
35376.32,3,17,1166.47
35376.32,3,17,1166.47
35376.32,3,18,1166.47
35376.32,3,15,1166.47
35376.32,3,15,1166.47
15488.885,0,3,1287.59
15488.885,0,1,1287.59
15488.885,0,2,1287.59
15560525.0,0,3,1287.59
15488.885,0,0,1287.59
19853.35,2,17,816.46
19853.35,2,17,816.46
19853.35,2,17,816.46
115643.01,3,3,951.36
115643.01,3,1,951.36
7512.225,5,19,540.07
7512.225,5,17,540.07
7512.225,5,17,540.07
7512.225,5,20,540.07
7512.225,5,15,540.07
66502.76,2,7,276.91
66502.76,2,10,276.91
66502.76,2,10,276.91
66502.76,2,8,276.91
66502.76,2,11,276.91
66502.76,2,10,276.91
70112.78,2,3,877.06
70112.78,2,3,877.06
70112.78,2,4,877.06
70112.78,2,3,877.06
70112.78,2,1,877.06
70112.78,2,3,877.06
68935.26,3,8,457.81
68935.26,3,5,457.81
68935.26,3,3,457.81
68935.26,3,6,457.81
31807.0,2,8,611.04
31807.0,2,0,611.04
31807.0,2,8,611.04
31807.0,2,8,611.04
10025.2,7,14,1409.58
10025.2,7,14,1409.58
86522.72,1,10,455.22
86522.72,1,9,455.22
86522.72,1,0,455.22
86522.72,1,10,455.22
86522.72,1,8,455.22
86522.72,1,13,455.22
15606.515,4,1,257.85
15606.515,4,1,257.85
10623.765,3,12,181.68
10623.765,3,12,181.68
10623.765,3,9,181.68
10623.765,3,12,181.68
11970.955,2,8,889.62
11970.955,2,8,889.62
11970.955,2,7,889.62
33335.24,1,7,1226.23
33335.24,1,7,1226.23
33335.24,1,7,1226.23
33335.24,1,7,1226.23
33335.24,1,7,1226.23
131577.84,2,2,816.21
131577.84,2,2,816.21
131577.84,2,2,816.21
131577.84,2,2,816.21
32314.44,3,11,1339.6
32314.44,3,10,1339.6
32314.44,3,9,1339.6
32314.44,3,12,1339.6
32314.44,3,11,1339.6
61235.6,1,0,71.52
61235.6,1,0,71.52
61235.6,1,3,71.52
61235.6,1,3,71.52
61235.6,1,3,71.52
19078.93,0,14,265.86
135895.96,0,17,429.77
135895.96,0,17,429.77
135895.96,0,17,429.77
135895.96,0,17,429.77
29608.46,7,15,1286.07
29608.46,7,16,1286.07
29608.46,7,16,1286.07
29608.46,7,16,1286.07
29608.46,7,15,1286.07
113781.38999999998,0,7,1030.2
113781.38999999998,0,7,1030.2
113781.38999999998,0,7,1030.2
113781.38999999998,0,7,1030.2
113781.38999999998,0,7,1030.2
113781.38999999998,0,7,1030.2
113781.38999999998,0,8,1030.2
97961.96,0,12,750.95
97961.96,0,10,750.95
97961.96,0,0,750.95
31895.07,4,10,220.33
31895.07,4,7,220.33
31895.07,4,9,220.33
31895.07,4,8,220.33
30922.28,2,1,957.53
30922.28,2,1,957.53
30922.28,2,1,957.53
25530.33,0,13,761.18
25530.33,0,13,761.18
25530.33,0,13,761.18
25530.33,0,13,761.18
39696.98,1,3,133.3
39696.98,1,3,133.3
39696.98,1,3,133.3
39696.98,1,3,133.3
13074.395,1,0,1048.26
13074.395,1,14,1048.26
13074.395,1,15,1048.26
13074.395,1,13,1048.26
11431.775,4,15,117.57
11431.775,4,15,117.57
11431.775,4,15,117.57
14224.655,1,10,1343.01
14224.655,1,10,1343.01
14224.655,1,9,1343.01
14224.655,1,8,1343.01
14224.655,1,10,1343.01
142170.12,2,1,282.56
142170.12,2,1,282.56
142170.12,2,1,282.56
142170.12,2,1,282.56
142170.12,2,1,282.56
142170.12,2,1,282.56
142170.12,2,1,282.56
19951.765,2,0,1463.07
19951.765,2,6,1463.07
19951.765,2,6,1463.07
94454.1,3,0,1342.61
94454.1,3,6,1342.61
94454.1,3,8,1342.61
27063.43,4,0,1205.36
27063.43,4,13,1205.36
27063.43,4,12,1205.36
27063.43,4,15,1205.36
96582.24,1,13,482.88
96582.24,1,15,482.88
96582.24,1,16,482.88
96582.24,1,15,482.88
122978.43,3,4,1197.33
122978.43,3,2,1197.33
122978.43,3,4,1197.33
122978.43,3,4,1197.33
122978.43,3,3,1197.33
34547.54,1,11,939.31
34547.54,1,13,939.31
34547.54,1,10,939.31
34547.54,1,13,939.31
34547.54,1,0,939.31
173196.32,1,5,967.23
173196.32,1,5,967.23
173196.32,1,5,967.23
173196.32,1,5,967.23
173196.32,1,5,967.23
173196.32,1,8,967.23
173196.32,1,5,967.23
29042.45,1,16,1092.55
29042.45,1,13,1092.55
29042.45,1,16,1092.55
29042.45,1,19,1092.55
29042.45,1,16,1092.55
29042.45,1,0,1092.55
26716.09,3,708,643.89
26716.09,3,17,643.89
26716.09,3,17,643.89
26716.09,3,14,643.89
26716.09,3,16,643.89
20540.49,1,0,1118.37
20540.49,1,3,1118.37
38175.39,3,8,315.36
38175.39,3,8,315.36
38175.39,3,8,315.36
38175.39,3,8,315.36
38175.39,3,7,315.36
38175.39,3,8,315.36
38175.39,3,8,315.36
116594.91,2,0,1124.02
116594.91,2,1,1124.02
116594.91,2,1,1124.02
116594.91,2,7,1124.02
116594.91,2,3,1124.02
24894.05,0,10,86.43
24894.05,0,10,86.43
24894.05,0,11,86.43
65299.38,2,0,1177.38
65299.38,2,0,1177.38
65299.38,2,0,1177.38
65299.38,2,0,1177.38
33200.52,2,15,1290.73
33200.52,2,15,1290.73
33200.52,2,16,1290.73
33200.52,2,18,1290.73
65778.22,4,0,705.44
65778.22,4,15,705.44
65778.22,4,17,705.44
65778.22,4,16,705.44
65778.22,4,18,705.44
12016.0,3,10,583.27
12016.0,3,10,583.27
12016.0,3,10,583.27
12016.0,3,10,583.27
12016.0,3,10,583.27
19180.87,4,17,1127.57
19180.87,4,17,1127.57
19180.87,4,17,1127.57
60552.76,3,11,463.07
60552.76,3,11,463.07
60552.76,3,3815,463.07
60552.76,3,11,463.07
60552.76,3,11,463.07
11245.11,0,13,169.86
11245.11,0,13,169.86
98197.74,3,7,627.5
98197.74,3,7,627.5
98197.74,3,8,627.5
98197.74,3,0,627.5
98197.74,3,8,627.5
30197.28,4,11,811.08
30197.28,4,13,811.08
30197.28,4,13,811.08
30197.28,4,13,811.08
30197.28,4,10,811.08
30197.28,4,13,811.08
31633.54,3,8,846.45
31633.54,3,8,846.45
31633.54,3,5,846.45
31633.54,3,7,846.45
31633.54,3,5,846.45
31633.54,3,6,846.45
31633.54,3,7,846.45
19623.18,2,14,1369.54
19623.18,2,14,1369.54
19623.18,2,14,1369.54
19623.18,2,14,1369.54
63197.26,3,15,1435.94
63197.26,3,15,1435.94
63197.26,3,15,1435.94
63197.26,3,15,1435.94
63197.26,3,12,1435.94
31069.32,2,2,343.6
31069.32,2,2,343.6
31069.32,2,2,343.6
31069.32,2,2,343.6
31069.32,2,0,343.6
72241.02,1,14,843.44
72241.02,1,12,843.44
72241.02,1,12,843.44
72241.02,1,12,843.44
72241.02,1,0,843.44
72241.02,1,12,843.44
16953.985,2,2,554.48
16953.985,2,4,554.48
16953.985,2,4,554.48
16953.985,2,4,554.48
16953.985,2,4,554.48
16953.985,2,4,554.48
35133.49,3,12,586.6
35133.49,3,12,586.6
35133.49,3,12,586.6
35133.49,3,12,586.6
35133.49,3,12,586.6
35133.49,3,9,586.6
35133.49,3,10,586.6
16866.5,1,12,1385.89
16866.5,1,12,1385.89
16866.5,1,10,1385.89
16866.5,1,14,1385.89
16866.5,1,12,1385.89
18969.19,0,11,54.82
18969.19,0,6,54.82
18969.19,0,9,54.82
18969.19,0,9,54.82
18969.19,0,9,54.82
18969.19,0,9,54.82
36154.19,2,8,651.85
36154.19,2,8,651.85
36154.19,2,0,651.85
36154.19,2,8,651.85
36154.19,2,8,651.85
49889.38,0,17,1450.37
49889.38,0,16,1450.37
49889.38,0,17,1450.37
49889.38,0,15,1450.37
49889.38,0,17,1450.37
29233.34,3,13,96.31
29233.34,3,13,96.31
29233.34,3,16,96.31
29233.34,3,13,96.31
20742.46,5,19,1319.87
20742.46,5,19,1319.87
20742.46,5,21,1319.87
20742.46,5,21,1319.87
34841.87,2,2,142.05
34841.87,2,1,142.05
34841.87,2,2,142.05
34841.87,2,4,142.05
63101.14,4,7,64.53
63101.14,4,8,64.53
63101.14,4,9,64.53
63101.14,4,8,64.53
33453.08,2,8,1498.09
33453.08,2,7,1498.09
33453.08,2,5,1498.09
33453.08,2,8,1498.09
83845.7,2,8,49.6
83845.7,2,8,49.6
83845.7,2,8,49.6
83845.7,2,11,49.6
83845.7,2,8,49.6
108415.0,1,17,1075.84
108415.0,1,18,1075.84
108415.0,1,17,1075.84
32663.41,4,6,1067.3
32663.41,4,0,1067.3
32663.41,4,5,1067.3
132537.24,1,1,382.04
132537.24,1,0,382.04
12070.845,4,12,759.86
12070.845,4,12,759.86
12070.845,4,12,759.86
38539.57,1,1,526.62
38539.57,1,1,526.62
38539.57,1,1,526.62
38539.57,1,2,526.62
48411.24,4,10,821.27
48411.24,4,12,821.27
48411.24,4,14,821.27
48411.24,4,11,821.27
48411.24,4,11,821.27
48411.24,4,0,821.27
48411.24,4,11,821.27
47275.96,4,18,302.1
47275.96,4,18,302.1
30232.28,4,1867,1483.59
30232.28,4,1,1483.59
30232.28,4,0,1483.59
22409880.0,4,1,1483.59
36490.98,4,18,581.05
36490.98,4,0,581.05
36490.98,4,19,581.05
36490.98,4,19,581.05
36490.98,4,19,581.05
30743.6,1,13,401.53
30743.6,1,11,401.53
30743.6,1,13,401.53
30743.6,1,16,401.53
32128.24,7,20,465.04
32128.24,7,20,465.04
32128.24,7,20,465.04
32128.24,7,18,465.04
32128.24,7,0,465.04
151722.56,2,3,218.25
151722.56,2,4,218.25
151722.56,2,3,218.25
151722.56,2,0,218.25
62316.63,2,11,417.27
62316.63,2,11,417.27
62316.63,2,0,417.27
62316.63,2,9,417.27
19310.62,5,8,1306.08
94511.79,0,9,1315.6
94511.79,0,9,1315.6
94511.79,0,9,1315.6
94511.79,0,9,1315.6
94511.79,0,9,1315.6
96275.84,1,18,999.36
96275.84,1,18,999.36
96275.84,1,18,999.36
96275.84,1,18,999.36
55662.64,3,2250,1078.02
55662.64,3,19,1078.02
55662.64,3,19,1078.02
55662.64,3,19,1078.02
55662.64,3,16,1078.02
55662.64,3,20,1078.02
19758.84,8,24,1352.88
55000.62,0,16,815.35
55000.62,0,0,815.35
55000.62,0,18,815.35
55000.62,0,17,815.35
55000.62,0,14,815.35
55000.62,0,14,815.35
10352.745,7,17,343.41
10352.745,7,17,343.41
10352.745,7,17,343.41
50811.27,3,16,1274.59
50811.27,3,14,1274.59
50811.27,3,14,1274.59
50811.27,3,14,1274.59
18549.28,0,0,1247.3
18549.28,0,0,1247.3
18549.28,0,0,1247.3
5444147.0,0,0,1247.3
18549.28,0,0,1247.3
18549.28,0,0,1247.3
134810.13,2,3,744.97
134810.13,2,0,744.97
134810.13,2,1,744.97
134810.13,2,1,744.97
134810.13,2,1,744.97
134810.13,2,1,744.97
134810.13,2,1,744.97
102596.63999999998,0,4,1033.59
102596.63999999998,0,4,1033.59
102596.63999999998,0,2,1033.59
102596.63999999998,0,2,1033.59
14884.465,4,17,1122.86
14884.465,4,18,1122.86
14884.465,4,17,1122.86
14884.465,4,15,1122.86
31732.61,4,10,1404.06
31732.61,4,10,1404.06
31732.61,4,10,1404.06
31732.61,4,10,1404.06
31732.61,4,12,1404.06
50847.22,1,0,486.71
50847.22,1,18,486.71
50847.22,1,19,486.71
66169.56,3,14,198.53
66169.56,3,14,198.53
66169.56,3,16,198.53
108223.62,2,12,977.19
108223.62,2,12,977.19
108223.62,2,12,977.19
108223.62,2,12,977.19
108223.62,2,12,977.19
17853.5,2,12,990.35
17853.5,2,8,990.35
17853.5,2,13,990.35
17853.5,2,10,990.35
22500.52,5,16,864.7
22500.52,5,17,864.7
22500.52,5,16,864.7
22500.52,5,16,864.7
22500.52,5,0,864.7
15305.46,2,2,642.42
15305.46,2,2,642.42
15305.46,2,1,642.42
15305.46,2,2,642.42
15305.46,2,5,642.42
15305.46,2,2,642.42
99089.52,1,0,338.95
9374962.0,1,1,338.95
99089.52,1,2,338.95
99089.52,1,1,338.95
9307.24,3,12,486.05
9307.24,3,15,486.05
9307.24,3,14,486.05
9307.24,3,12,486.05
9307.24,3,14,486.05
134316.2,0,14,1383.6
134316.2,0,14,1383.6
134316.2,0,17,1383.6
134316.2,0,15,1383.6
134316.2,0,14,1383.6
38685.98,2,12,1340.41
38685.98,2,12,1340.41
38685.98,2,12,1340.41
38685.98,2,12,1340.41
69933.98,2,10,1446.37
69933.98,2,10,1446.37
69933.98,2,10,1446.37
69933.98,2,10,1446.37
69933.98,2,13,1446.37
21075.36,2,5,1498.02
21075.36,2,2,1498.02
21075.36,2,5,1498.02
60843.33,3,18,1494.43
60843.33,3,15,1494.43
54987.52,0,12,1263.12
54987.52,0,17,1263.12
54987.52,0,0,1263.12
54987.52,0,15,1263.12
42241.19,0,11,190.04
42241.19,0,0,190.04
42241.19,0,11,190.04
42241.19,0,11,190.04
42241.19,0,9,190.04
31087.66,6,8,70.82
31087.66,6,11,70.82
132414.16,0,16,53.73
132414.16,0,19,53.73
132414.16,0,17,53.73
132414.16,0,16,53.73
92794.04,0,16,1269.4
92794.04,0,15,1269.4
92794.04,0,16,1269.4
92794.04,0,16,1269.4
92794.04,0,16,1269.4
92794.04,0,16,1269.4
92794.04,0,16,1269.4
16582.83,4,16,471.81
16582.83,4,17,471.81
16582.83,4,17,471.81
31896.42,1,0,1177.43
31896.42,1,7,1177.43
31896.42,1,8,1177.43
31896.42,1,7,1177.43
34927.0,0,19,1158.55
34927.0,0,21,1158.55
25020.07,1,12,94.75
25020.07,1,9,94.75
94052.22,1,15,76.99
94052.22,1,0,76.99
94052.22,1,15,76.99
94052.22,1,16,76.99
42731.27,2,3,511.85
42731.27,2,0,511.85
42731.27,2,0,511.85
11968.51,2,20,685.74
11968.51,2,18,685.74
11968.51,2,18,685.74
11968.51,2,19,685.74
11968.51,2,18,685.74
11968.51,2,18,685.74
33386.25,3,10,1343.67
33386.25,3,10,1343.67
33386.25,3,10,1343.67
33386.25,3,10,1343.67
67614.24,2,22,1330.8
174304.04,0,7,461.16
174304.04,0,0,461.16
174304.04,0,7,461.16
174304.04,0,0,461.16
174304.04,0,7,461.16
174304.04,0,7,461.16
68742.75,2,19,651.38
68742.75,2,16,651.38
68742.75,2,16,651.38
13019734.0,2,18,651.38
15932.725,1,0,1124.16
15932.725,1,11,1124.16
15932.725,1,11,1124.16
15932.725,1,11,1124.16
15932.725,1,12,1124.16
72252.36,4,17,51.39
72252.36,4,0,51.39
72252.36,4,16,51.39
72252.36,4,15,51.39
72252.36,4,18,51.39
72252.36,4,15,51.39
72252.36,4,0,51.39
30399.06,4,11,516.76
30399.06,4,10,516.76
30399.06,4,12,516.76
30399.06,4,12,516.76
30399.06,4,9,516.76
133410.66,0,5,933.84
133410.66,0,7,933.84
133410.66,0,5,933.84
19167.04,4,19,1297.12
19167.04,4,19,1297.12
19167.04,4,16,1297.12
28169.07,0,3,460.32
28169.07,0,5,460.32
28169.07,0,5,460.32
28169.07,0,3,460.32
12613.56,0,0,328.41
12613.56,0,16,328.41
12613.56,0,0,328.41
12613.56,0,17,328.41
12613.56,0,18,328.41
29625.82,4,19,1042.61
29625.82,4,16,1042.61
29625.82,4,19,1042.61
62223.06,3,13,1230.58
62223.06,3,10,1230.58
14976.45,0,20,69.51
14976.45,0,23,69.51
14976.45,0,0,69.51
14976.45,0,0,69.51
14976.45,0,20,69.51
14976.45,0,22,69.51
23181767.0,4,19,527.16
37302.1,4,12,907.73
37302.1,4,12,907.73
37302.1,4,12,907.73
37302.1,4,12,907.73
37302.1,4,0,907.73
19653.005,4,13,919.98
19653.005,4,11,919.98
19653.005,4,11,919.98
19653.005,4,14,919.98
174179.64,1,0,1355.93
174179.64,1,8,1355.93
174179.64,1,8,1355.93
174179.64,1,10,1355.93
174179.64,1,6,1355.93
174179.64,1,5,1355.93
21720.955,2,9,992.78
21720.955,2,9,992.78
21720.955,2,9,992.78
38107.36,3,0,1472.7
38107.36,3,18,1472.7
38107.36,3,16,1472.7
38107.36,3,16,1472.7
38107.36,3,16,1472.7
85423.16,2,20,902.37
85423.16,2,17,902.37
85423.16,2,17,902.37
13603.41,6,16,45.82
13603.41,6,16,45.82
13603.41,6,0,45.82
13603.41,6,16,45.82
13603.41,6,17,45.82
12943.475,6,13,265.36
12943.475,6,16,265.36
12943.475,6,14,265.36
12943.475,6,12,265.36
12943.475,6,14,265.36
35518.98,3,16,1270.18
35518.98,3,16,1270.18
35518.98,3,14,1270.18
35518.98,3,16,1270.18
35518.98,3,16,1270.18
35518.98,3,16,1270.18
8875.135,2,14,1353.77
8875.135,2,14,1353.77
8875.135,2,14,1353.77
81395.44,0,4,278.8
81395.44,0,0,278.8
81395.44,0,6,278.8
48780.56,0,20,967.75
48780.56,0,20,967.75
48780.56,0,20,967.75
48780.56,0,17,967.75
48780.56,0,20,967.75
48780.56,0,23,967.75
48608.78,2,17,345.71
48608.78,2,17,345.71
48608.78,2,17,345.71
48608.78,2,17,345.71
48608.78,2,0,345.71
63635.12,2,13,122.65
63635.12,2,11,122.65
63635.12,2,10,122.65
63635.12,2,10,122.65
63635.12,2,10,122.65
126849.18,0,6,518.4
126849.18,0,8,518.4
126849.18,0,6,518.4
126849.18,0,6,518.4
126849.18,0,6,518.4
16154.8,2,0,275.06
16154.8,2,0,275.06
11631.405,4,17,165.88
11631.405,4,17,165.88
11631.405,4,0,165.88
11631.405,4,19,165.88
24726.48,2,16,155.22
24726.48,2,16,155.22
24726.48,2,16,155.22
13065.87,2,11,1203.17
13065.87,2,13,1203.17
13065.87,2,11,1203.17
49447.74000000001,5,15,1286.68
49447.74000000001,5,18,1286.68
49447.74000000001,5,16,1286.68
49447.74000000001,5,15,1286.68
49447.74000000001,5,14,1286.68
37824.65,3,8,69.84
37824.65,3,1941,69.84
37824.65,3,8,69.84
66732.58,0,8,244.07
66732.58,0,8,244.07
66732.58,0,8,244.07
66732.58,0,8,244.07
115800.54,1,2,194.96
115800.54,1,2,194.96
115800.54,1,2,194.96
115800.54,1,5,194.96
115800.54,1,2,194.96
88133.16,0,5,1073.99
88133.16,0,5,1073.99
88133.16,0,2,1073.99
88133.16,0,6,1073.99
27632.92,3,12,1103.71
